Department,InventoryTurns,AvgDailyInvCOGS,NetBookedRevenue,SKUCount,BrandCount,TurnsCV,TurnsP25,TurnsP50,TurnsP75,MarkupRatio,SeasonalityCV,ZeroTurnSKUs,SlowSKUs,FastSKUs,MarkdownSKUs,AvgMarkdownDepth,OnOrderCOGS,OnOrderRatio,PriorYearSTR
Ski Hardware,1.1463,311961.02,430465.09,120,7,0.5581,0.7348,1.1139,1.6466,1.2124,1.0288,0,14,19,62,0.2712,129444.47,0.4149,1.6399
Snowboard Hardware,1.4588,284012.23,486628.97,135,4,0.6402,0.8568,1.1257,1.5958,1.2214,1.0157,0,12,19,64,0.2603,116745.09,0.4111,2.274
Bikes,1.0511,390523.22,474151.82,146,5,0.5317,0.6302,0.9026,1.2752,1.1738,0.5384,0,17,8,101,0.2824,161869.92,0.4145,1.5772
Bike Components,1.8147,151183.38,354816.59,350,6,0.7671,0.9604,1.5072,2.2465,1.2855,0.5657,0,24,115,134,0.2623,264852.84,1.7519,2.3105
Kayaks & Canoes,1.0457,255623.9,305671.12,78,6,0.7433,0.5674,0.7704,1.2928,1.1942,0.6793,0,17,10,49,0.2896,82224.23,0.3217,1.5391
Paddle & SUP Accessories,3.5249,85930.71,416606.13,159,8,0.6786,1.7715,2.722,4.1995,1.3853,0.3696,0,0,103,21,0.2161,38089.04,0.4433,5.0467
Camping & Shelter,1.7143,151159.5,332583.87,155,7,0.59,1.067,1.5755,2.2556,1.3002,0.1824,0,7,52,49,0.2658,159800.42,1.0572,1.7218
Sleep Systems,1.81,154305.18,353636.59,120,8,0.5859,1.05,1.4674,2.015,1.3003,0.3097,0,3,32,42,0.2699,58897.97,0.3817,1.9154
Climbing Gear,2.6356,136902.66,488397.35,232,4,0.6115,1.5663,2.1825,3.3384,1.3349,0.4332,0,4,131,41,0.2394,97205.59,0.71,2.4153
Packs & Luggage,1.7567,154502.63,372945.17,127,5,0.5746,1.1113,1.726,2.3668,1.3912,0.213,0,2,44,44,0.2476,100583.59,0.651,2.0243
Snow Outerwear,2.1769,171378.73,635213.17,258,5,0.6427,1.1664,1.7451,2.9716,1.7305,1.0906,0,9,112,79,0.2671,173593.63,1.0129,2.5416
Technical Outerwear,2.3749,207864.7,879172.36,194,5,0.6771,1.3152,1.9974,2.9848,1.7795,0.4872,0,2,96,48,0.2513,70329.17,0.3383,2.6429
Midlayer & Fleece,2.9592,197085.18,1101417.36,265,7,0.5715,1.7998,2.7223,3.8635,1.838,0.5935,0,1,182,43,0.2471,114119.86,0.579,3.4356
Baselayer,3.6608,72684.34,516287.2,134,5,0.6581,2.1578,3.2692,4.5635,1.931,0.179,0,2,103,14,0.2384,47744.96,0.6569,3.5152
Casual Apparel,4.2121,99786.78,873038.1,349,5,0.6525,2.3098,3.3414,5.1621,2.094,0.2632,0,0,286,24,0.2024,98974.23,0.9919,4.4534
Hiking Footwear,2.9258,112429.54,534708.67,175,4,0.5505,1.8506,2.4352,3.5005,1.6243,0.2459,0,0,115,22,0.2403,83508.44,0.7428,2.8667
Snow Boots & Footwear,1.9518,125080.03,381915.76,126,5,0.6376,1.1264,1.7552,2.3947,1.585,1.086,0,2,48,40,0.2495,89587.91,0.7162,2.0774
Casual Footwear,3.4296,120619.46,694173.53,111,6,0.5929,2.1295,3.3178,4.4377,1.6905,0.1682,0,0,88,7,0.1907,22428.07,0.1859,3.4267
Helmets & Protection,2.5494,95873.06,340784.49,82,5,0.5296,1.468,2.0901,3.2788,1.3955,0.6745,0,1,44,10,0.2648,43398.66,0.4527,2.6313
Goggles & Eyewear,3.1488,108830.07,519686.66,159,6,0.6367,1.6761,2.6618,4.0594,1.5031,0.9441,0,0,104,22,0.2173,31467.76,0.2891,2.7542
Gloves & Handwear,4.5593,46900.33,360497.31,131,6,0.7008,2.9162,3.8426,5.9003,1.6788,1.0536,0,0,119,3,0.1574,33935.8,0.7236,3.9992
Hydration & Nutrition,7.2205,49927.12,552097.19,133,5,0.6188,3.7133,5.6102,8.429,1.5331,0.1291,0,0,130,3,0.1424,39559.69,0.7923,6.9745
Camp Kitchen & Tools,4.7123,67546.62,453435.18,239,5,0.5744,2.6876,4.0944,6.043,1.4272,0.2165,0,0,212,15,0.2202,94381.0,1.3973,4.6346
Navigation & Safety,3.0466,79695.63,332328.23,122,6,0.6251,1.5413,2.5659,3.8327,1.3738,0.2242,0,1,79,21,0.2126,80844.7,1.0144,3.1746
