Department,SKUID,Brand,UnitsOnOrder,POCostValue,ExpectedReceiptDays
Ski Hardware,SKI_HARDWARE_0002,Deepfreeze,6,3335.52,67
Ski Hardware,SKI_HARDWARE_0004,Frostline,15,9037.5,20
Ski Hardware,SKI_HARDWARE_0005,Deepfreeze,7,3674.16,83
Ski Hardware,SKI_HARDWARE_0008,Stonepath,8,2062.56,42
Ski Hardware,SKI_HARDWARE_0009,Stonepath,5,1609.7,83
Ski Hardware,SKI_HARDWARE_0012,Dustfall,7,4266.57,41
Ski Hardware,SKI_HARDWARE_0016,Gravelpath,8,3175.52,34
Ski Hardware,SKI_HARDWARE_0017,Mesaflow,14,6072.78,23
Ski Hardware,SKI_HARDWARE_0020,Gravelpath,18,5777.28,76
Ski Hardware,SKI_HARDWARE_0023,Deepfreeze,7,3582.46,107
Ski Hardware,SKI_HARDWARE_0028,Deepfreeze,10,5242.1,7
Ski Hardware,SKI_HARDWARE_0033,Deepfreeze,3,1540.62,79
Ski Hardware,SKI_HARDWARE_0034,Gravelpath,8,3682.08,30
Ski Hardware,SKI_HARDWARE_0037,Stonepath,12,3811.8,73
Ski Hardware,SKI_HARDWARE_0043,Deepfreeze,9,4553.73,70
Ski Hardware,SKI_HARDWARE_0044,Stonepath,32,4803.84,29
Ski Hardware,SKI_HARDWARE_0045,Stonepath,9,5788.17,28
Ski Hardware,SKI_HARDWARE_0046,Gravelpath,6,411.54,21
Ski Hardware,SKI_HARDWARE_0052,Mesaflow,6,1619.34,8
Ski Hardware,SKI_HARDWARE_0055,Stonepath,3,1766.7,33
Ski Hardware,SKI_HARDWARE_0059,Stonepath,5,3180.2,56
Ski Hardware,SKI_HARDWARE_0060,Frostline,8,4199.2,31
Ski Hardware,SKI_HARDWARE_0065,Dustfall,11,2108.59,55
Ski Hardware,SKI_HARDWARE_0072,Stonepath,2,1026.76,7
Ski Hardware,SKI_HARDWARE_0077,Frostline,3,801.27,11
Ski Hardware,SKI_HARDWARE_0078,Dustfall,33,10803.21,70
Ski Hardware,SKI_HARDWARE_0079,Rockline,6,1027.5,46
Ski Hardware,SKI_HARDWARE_0089,Deepfreeze,2,1291.26,48
Ski Hardware,SKI_HARDWARE_0091,Deepfreeze,2,408.58,92
Ski Hardware,SKI_HARDWARE_0101,Mesaflow,8,4873.28,58
Ski Hardware,SKI_HARDWARE_0103,Stonepath,6,1162.62,82
Ski Hardware,SKI_HARDWARE_0107,Rockline,21,8563.59,79
Ski Hardware,SKI_HARDWARE_0108,Frostline,3,1447.8,69
Ski Hardware,SKI_HARDWARE_0109,Gravelpath,8,4049.04,47
Ski Hardware,SKI_HARDWARE_0110,Stonepath,4,2211.88,7
Ski Hardware,SKI_HARDWARE_0111,Rockline,9,5136.57,7
Ski Hardware,SKI_HARDWARE_0115,Deepfreeze,6,1068.06,57
Ski Hardware,SKI_HARDWARE_0116,Gravelpath,1,271.09,37
Snowboard Hardware,SNOWBOARD_HARD_0003,Alpenglow,3,761.31,7
Snowboard Hardware,SNOWBOARD_HARD_0006,Alpenglow,12,4821.12,14
Snowboard Hardware,SNOWBOARD_HARD_0008,Alpenglow,5,1555.2,30
Snowboard Hardware,SNOWBOARD_HARD_0012,Terracross,4,162.76,99
Snowboard Hardware,SNOWBOARD_HARD_0013,Alpenglow,5,2943.45,16
Snowboard Hardware,SNOWBOARD_HARD_0014,Terracross,21,2445.24,85
Snowboard Hardware,SNOWBOARD_HARD_0016,Terracross,25,1939.75,39
Snowboard Hardware,SNOWBOARD_HARD_0017,Edgewood,5,2751.2,54
Snowboard Hardware,SNOWBOARD_HARD_0021,Alpenglow,12,482.76,39
Snowboard Hardware,SNOWBOARD_HARD_0024,Alpenglow,2,1235.34,42
Snowboard Hardware,SNOWBOARD_HARD_0025,Edgewood,7,4309.76,7
Snowboard Hardware,SNOWBOARD_HARD_0029,Iceform,2,569.12,39
Snowboard Hardware,SNOWBOARD_HARD_0034,Alpenglow,3,430.5,18
Snowboard Hardware,SNOWBOARD_HARD_0036,Iceform,10,4986.7,30
Snowboard Hardware,SNOWBOARD_HARD_0038,Edgewood,17,7880.86,31
Snowboard Hardware,SNOWBOARD_HARD_0041,Edgewood,7,1466.29,49
Snowboard Hardware,SNOWBOARD_HARD_0044,Alpenglow,5,1885.4,38
Snowboard Hardware,SNOWBOARD_HARD_0048,Alpenglow,18,983.16,76
Snowboard Hardware,SNOWBOARD_HARD_0049,Terracross,8,1114.32,114
Snowboard Hardware,SNOWBOARD_HARD_0052,Alpenglow,10,1526.6,7
Snowboard Hardware,SNOWBOARD_HARD_0053,Terracross,3,1589.64,23
Snowboard Hardware,SNOWBOARD_HARD_0055,Alpenglow,6,3835.5,71
Snowboard Hardware,SNOWBOARD_HARD_0057,Iceform,8,4732.88,38
Snowboard Hardware,SNOWBOARD_HARD_0062,Alpenglow,1,611.14,77
Snowboard Hardware,SNOWBOARD_HARD_0067,Edgewood,6,1443.0,43
Snowboard Hardware,SNOWBOARD_HARD_0070,Terracross,36,14443.92,37
Snowboard Hardware,SNOWBOARD_HARD_0072,Iceform,8,2148.4,65
Snowboard Hardware,SNOWBOARD_HARD_0077,Edgewood,6,3795.12,11
Snowboard Hardware,SNOWBOARD_HARD_0081,Terracross,9,2822.04,42
Snowboard Hardware,SNOWBOARD_HARD_0086,Iceform,1,487.52,7
Snowboard Hardware,SNOWBOARD_HARD_0087,Terracross,4,1266.64,31
Snowboard Hardware,SNOWBOARD_HARD_0094,Iceform,3,528.81,61
Snowboard Hardware,SNOWBOARD_HARD_0095,Edgewood,7,3930.5,7
Snowboard Hardware,SNOWBOARD_HARD_0096,Iceform,9,1886.58,57
Snowboard Hardware,SNOWBOARD_HARD_0101,Iceform,22,1159.84,73
Snowboard Hardware,SNOWBOARD_HARD_0103,Edgewood,4,1461.12,22
Snowboard Hardware,SNOWBOARD_HARD_0106,Edgewood,6,2806.8,18
Snowboard Hardware,SNOWBOARD_HARD_0108,Alpenglow,5,146.45,14
Snowboard Hardware,SNOWBOARD_HARD_0109,Alpenglow,18,11361.06,53
Snowboard Hardware,SNOWBOARD_HARD_0114,Alpenglow,16,8979.84,60
Snowboard Hardware,SNOWBOARD_HARD_0120,Alpenglow,3,1218.87,47
Snowboard Hardware,SNOWBOARD_HARD_0123,Alpenglow,10,320.7,12
Snowboard Hardware,SNOWBOARD_HARD_0132,Iceform,4,1517.88,40
Bikes,BIKES_0001,Edgewood,6,450.84,32
Bikes,BIKES_0002,Basecamp,5,1159.95,71
Bikes,BIKES_0005,Edgewood,3,264.12,38
Bikes,BIKES_0008,Basecamp,6,3661.32,59
Bikes,BIKES_0009,Edgewood,3,495.27,16
Bikes,BIKES_0013,Trailhead,6,155.04,113
Bikes,BIKES_0022,Duskridge,15,7412.85,35
Bikes,BIKES_0029,Stonepath,4,1752.04,82
Bikes,BIKES_0032,Basecamp,12,6327.36,26
Bikes,BIKES_0033,Edgewood,15,6093.45,75
Bikes,BIKES_0034,Duskridge,5,2674.35,7
Bikes,BIKES_0040,Basecamp,14,2255.12,51
Bikes,BIKES_0048,Stonepath,8,5154.48,47
Bikes,BIKES_0051,Duskridge,14,7647.78,58
Bikes,BIKES_0053,Stonepath,9,838.98,18
Bikes,BIKES_0055,Duskridge,7,2048.69,56
Bikes,BIKES_0057,Edgewood,8,4252.08,36
Bikes,BIKES_0058,Trailhead,18,9725.22,63
Bikes,BIKES_0060,Trailhead,25,9737.5,67
Bikes,BIKES_0062,Duskridge,5,1454.1,54
Bikes,BIKES_0065,Stonepath,7,130.41,30
Bikes,BIKES_0066,Edgewood,2,66.62,50
Bikes,BIKES_0073,Duskridge,7,1044.61,66
Bikes,BIKES_0076,Stonepath,5,557.5,64
Bikes,BIKES_0077,Stonepath,11,280.06,58
Bikes,BIKES_0079,Stonepath,23,9874.13,14
Bikes,BIKES_0080,Basecamp,17,8000.03,38
Bikes,BIKES_0083,Basecamp,1,316.86,88
Bikes,BIKES_0088,Stonepath,5,933.5,78
Bikes,BIKES_0090,Trailhead,3,403.44,11
Bikes,BIKES_0092,Edgewood,9,5204.7,59
Bikes,BIKES_0096,Basecamp,2,373.86,76
Bikes,BIKES_0099,Stonepath,11,1556.61,71
Bikes,BIKES_0100,Edgewood,2,454.98,7
Bikes,BIKES_0105,Stonepath,10,1273.5,41
Bikes,BIKES_0108,Stonepath,4,2387.72,49
Bikes,BIKES_0109,Edgewood,2,908.98,16
Bikes,BIKES_0110,Duskridge,5,2336.0,120
Bikes,BIKES_0111,Trailhead,10,2484.8,90
Bikes,BIKES_0112,Trailhead,9,490.14,7
Bikes,BIKES_0114,Duskridge,5,1843.85,7
Bikes,BIKES_0116,Trailhead,8,697.6,88
Bikes,BIKES_0117,Basecamp,5,2453.35,109
Bikes,BIKES_0119,Duskridge,11,5814.05,36
Bikes,BIKES_0120,Trailhead,10,2956.7,59
