SKUID,Department,TxnCount,AvgDaysBetweenSales,MaxGapDays,DaysSinceLastSale,FirstSaleDaysAgo
SKI_HARDWARE_0001,Ski Hardware,136,272.1,365.0,52.4,730.0
SKI_HARDWARE_0002,Ski Hardware,6,218.0,331.0,26.8,730.0
SKI_HARDWARE_0003,Ski Hardware,1,159.2,365.0,100.2,259.4
SKI_HARDWARE_0004,Ski Hardware,0,,,,
SKI_HARDWARE_0005,Ski Hardware,3,169.9,319.2,52.0,561.6
SKI_HARDWARE_0006,Ski Hardware,1,365.0,365.0,81.1,446.1
SKI_HARDWARE_0007,Ski Hardware,46,62.3,158.2,99.0,730.0
SKI_HARDWARE_0008,Ski Hardware,1,117.6,169.4,13.9,131.4
SKI_HARDWARE_0009,Ski Hardware,0,,,,
SKI_HARDWARE_0010,Ski Hardware,13,143.2,365.0,57.5,730.0
SKI_HARDWARE_0011,Ski Hardware,66,224.1,351.9,34.3,730.0
SKI_HARDWARE_0012,Ski Hardware,3,85.9,280.0,11.7,269.3
SKI_HARDWARE_0013,Ski Hardware,0,,,,
SKI_HARDWARE_0014,Ski Hardware,8,231.9,365.0,118.0,730.0
SKI_HARDWARE_0015,Ski Hardware,16,115.4,276.6,20.6,730.0
SKI_HARDWARE_0016,Ski Hardware,8,79.6,137.4,57.3,693.7
SKI_HARDWARE_0017,Ski Hardware,0,,,,
SKI_HARDWARE_0018,Ski Hardware,23,127.1,225.6,52.4,730.0
SKI_HARDWARE_0019,Ski Hardware,1,59.2,188.1,38.6,97.9
SKI_HARDWARE_0020,Ski Hardware,0,,,,
SKI_HARDWARE_0021,Ski Hardware,0,,,,
SKI_HARDWARE_0022,Ski Hardware,21,123.5,352.1,23.0,730.0
SKI_HARDWARE_0023,Ski Hardware,6,114.4,339.0,48.8,730.0
SKI_HARDWARE_0024,Ski Hardware,2,154.8,365.0,173.2,482.8
SKI_HARDWARE_0025,Ski Hardware,3,157.5,177.7,43.8,516.3
SKI_HARDWARE_0026,Ski Hardware,1,146.7,330.3,63.5,210.2
SKI_HARDWARE_0027,Ski Hardware,8,337.2,365.0,92.4,730.0
SKI_HARDWARE_0028,Ski Hardware,0,,,,
SKI_HARDWARE_0029,Ski Hardware,39,101.4,212.0,29.1,730.0
SKI_HARDWARE_0030,Ski Hardware,1,128.3,365.0,35.2,163.5
SKI_HARDWARE_0031,Ski Hardware,1,365.0,365.0,111.2,476.2
SKI_HARDWARE_0032,Ski Hardware,1,338.2,365.0,76.9,415.0
SKI_HARDWARE_0033,Ski Hardware,2,230.2,365.0,96.9,557.3
SKI_HARDWARE_0034,Ski Hardware,0,,,,
SKI_HARDWARE_0035,Ski Hardware,0,,,,
SKI_HARDWARE_0036,Ski Hardware,2,156.2,235.4,74.4,386.8
SKI_HARDWARE_0037,Ski Hardware,2,228.0,365.0,31.0,487.0
SKI_HARDWARE_0038,Ski Hardware,4,168.4,300.4,62.3,730.0
SKI_HARDWARE_0039,Ski Hardware,1,261.3,365.0,50.1,311.4
SKI_HARDWARE_0040,Ski Hardware,3,211.9,258.0,29.8,665.5
SKI_HARDWARE_0041,Ski Hardware,0,,,,
SKI_HARDWARE_0042,Ski Hardware,18,365.0,365.0,242.5,730.0
SKI_HARDWARE_0043,Ski Hardware,2,265.8,365.0,75.1,606.6
SKI_HARDWARE_0044,Ski Hardware,53,124.6,358.9,88.4,730.0
SKI_HARDWARE_0045,Ski Hardware,2,292.1,321.3,55.9,640.1
SKI_HARDWARE_0046,Ski Hardware,11,89.8,164.4,24.5,730.0
SKI_HARDWARE_0047,Ski Hardware,142,214.5,365.0,11.1,730.0
SKI_HARDWARE_0048,Ski Hardware,0,,,,
SKI_HARDWARE_0049,Ski Hardware,1,313.6,365.0,34.5,348.1
SKI_HARDWARE_0050,Ski Hardware,6,107.4,134.8,20.4,664.9
SKI_HARDWARE_0051,Ski Hardware,12,73.0,93.9,18.6,730.0
SKI_HARDWARE_0052,Ski Hardware,3,297.7,365.0,46.2,730.0
SKI_HARDWARE_0053,Ski Hardware,8,342.5,365.0,42.0,730.0
SKI_HARDWARE_0054,Ski Hardware,3,276.7,365.0,247.8,730.0
SKI_HARDWARE_0055,Ski Hardware,0,,,,
SKI_HARDWARE_0056,Ski Hardware,16,300.1,365.0,28.0,730.0
SKI_HARDWARE_0057,Ski Hardware,6,365.0,365.0,180.8,730.0
SKI_HARDWARE_0058,Ski Hardware,38,50.9,119.2,29.6,730.0
SKI_HARDWARE_0059,Ski Hardware,0,,,,
SKI_HARDWARE_0060,Ski Hardware,3,120.0,365.0,20.4,380.4
SKI_HARDWARE_0061,Ski Hardware,1,136.4,307.1,70.4,206.8
SKI_HARDWARE_0062,Ski Hardware,1,286.4,365.0,48.0,334.4
SKI_HARDWARE_0063,Ski Hardware,4,357.8,365.0,27.5,730.0
SKI_HARDWARE_0064,Ski Hardware,1,365.0,365.0,41.0,406.0
SKI_HARDWARE_0065,Ski Hardware,1,314.5,365.0,113.7,428.2
SKI_HARDWARE_0066,Ski Hardware,0,,,,
SKI_HARDWARE_0067,Ski Hardware,5,303.1,365.0,162.4,730.0
SKI_HARDWARE_0068,Ski Hardware,4,177.0,335.6,13.9,721.9
