Department,SKUID,Brand,Model,UnitsSold,AvgUnitCost,NetRevenue,COGS,AvgDailyInvCOGS,MarkupRatio,ItemTurns,VelocityTier,NoSalesHistory,IsMarkdown,MarkdownDepth,MarkdownRate
Ski Hardware,SKI_HARDWARE_0001,Frostline,Frostline Foundation,164,51.74,10510.15,8514.54,8985.76,1.2344,0.9476,Slow,False,True,0.3313,0.555
Ski Hardware,SKI_HARDWARE_0002,Deepfreeze,Deepfreeze Enduro,9,555.92,6493.71,5366.66,4735.7,1.21,1.1332,Slow,False,True,0.2511,0.7271
Ski Hardware,SKI_HARDWARE_0003,Stonepath,Stonepath Ridge,1,254.12,503.03,445.2,326.08,1.1299,1.3653,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0004,Frostline,Frostline Traverse,0,602.5,104.17,84.17,39.27,1.2376,2.1433,Moderate,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0005,Deepfreeze,Deepfreeze Enduro,5,524.88,3242.3,2965.33,2090.08,1.0934,1.4188,Slow,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0006,Mesaflow,Mesaflow Ridge,1,356.79,766.43,639.15,684.34,1.1991,0.934,Slow,False,True,0.3598,0.2844
Ski Hardware,SKI_HARDWARE_0007,Dustfall,Dustfall Venture,80,106.33,10603.96,8544.15,7036.35,1.2411,1.2143,Slow,False,True,0.2706,0.6811
Ski Hardware,SKI_HARDWARE_0008,Stonepath,Stonepath Lite,1,257.82,528.38,449.49,251.91,1.1755,1.7843,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0009,Stonepath,Stonepath Comp,0,321.94,60.74,47.78,20.98,1.2712,2.2781,Moderate,True,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0010,Stonepath,Stonepath X1,14,526.38,9402.81,7485.75,2562.77,1.2561,2.921,Moderate,False,False,0.0,0.0
Ski Hardware,SKI_HARDWARE_0011,Frostline,Frostline Trail,70,145.92,13493.49,10269.75,13796.98,1.3139,0.7443,Slow,False,True,0.274,0.6803
Ski Hardware,SKI_HARDWARE_0012,Dustfall,Dustfall Ridge,3,609.51,2889.1,2245.3,736.36,1.2867,3.0492,Fast,False,False,0.0,0.0
